,Country Name,Unemployment (%),Year
0,Afghanistan,8.8,2019
1,Albania,13.9,2019
2,Algeria,10,2019
3,Angola,8.2,2019
4,Argentina,8.7,2019
5,Armenia,18.2,2019
6,Australia,5.6,2019
7,Austria,5.5,2019
8,Azerbaijan,5,2019
9,Bahamas,12.6,2019
10,Bahrain,1.2,2019
11,Bangladesh,4.4,2019
12,Barbados,9.7,2019
13,Belarus,0.5,2019
14,Belgium,7.4,2019
15,Belize,9.3,2019
16,Benin,2.5,2019
17,Bhutan,2.4,2019
18,Bolivia,3.1,2019
19,Bosnia and Herzegovina,25.6,2019
20,Botswana,17.4,2019
21,Brazil,13.3,2019
22,Brunei Darussalam,7.1,2019
23,Bulgaria,6.2,2019
24,Burkina Faso,6.3,2019
25,Burma,0.8,2019
26,Burundi,1.6,2019
27,Cambodia,0.2,2019
28,Cameroon,4.2,2019
29,Canada,6.3,2019
30,Cabo Verde,10.3,2019
31,Central African Republic,6,2019
32,Chad,5.9,2019
33,Chile,7,2019
34,China,4.7,2019
35,Colombia,8.9,2019
36,Comoros,4.3,2019
37,"Congo, Democratic Republic of the Congo",3.7,2019
38,"Congo, Republic of",11,2019
39,Costa Rica,8.1,2019
40,C�te d'Ivoire,2.6,2019
41,Croatia,11.2,2019
42,Cuba,2.6,2019
43,Cyprus,11,2019
44,Czech Republic,2.9,2019
45,Denmark,5.7,2019
46,Djibouti,5.8,2019
47,Dominica,,2019
48,Dominican Republic,5.5,2019
49,Ecuador,3.8,2019
50,Egypt,12.1,2019
51,El Salvador,4.5,2019
52,Equatorial Guinea,6.9,2019
53,Eritrea,6.4,2019
54,Estonia,5.8,2019
55,Eswatini,26.4,2019
56,Ethiopia,5.2,2019
57,Fiji,6.3,2019
58,Finland,8.6,2019
59,France,9.4,2019
60,Gabon,19.7,2019
61,Gambia,9.5,2019
62,Georgia,11.6,2019
63,Germany,3.8,2019
64,Ghana,2.4,2019
65,Greece,21.5,2019
66,Guatemala,2.7,2019
67,Guinea,4.5,2019
68,Guinea-Bissau,6.1,2019
69,Guyana,12,2019
70,Haiti,14,2019
71,Honduras,4.5,2019
72,Hong Kong,3.1,2019
73,Hungary,4.2,2019
74,Iceland,2.8,2019
75,India,3.5,2019
76,Indonesia,4.2,2019
77,Iran,12.5,2019
78,Iraq,8.2,2019
79,Ireland,6.4,2019
80,Israel,4.3,2019
81,Italy,11.2,2019
82,Jamaica,12.5,2019
83,Japan,2.8,2019
84,Jordan,14.9,2019
85,Kazakhstan,4.9,2019
86,Kenya,11.5,2019
87,Kiribati,,2019
88,"Korea, North ",4.8,2019
89,"Korea, South",3.7,2019
90,Kosovo,,2019
91,Kuwait,2.1,2019
92,Kyrgyz Republic,7.3,2019
93,Laos,0.7,2019
94,Latvia,8.7,2019
95,Lebanon,6.6,2019
96,Lesotho,27.3,2019
97,Liberia,2.4,2019
98,Libya,17.7,2019
99,Liechtenstein,2.1 (2016),2019
100,Lithuania,7.1,2019
101,Luxembourg,5.5,2019
102,Macau,2,2019
103,Macedonia,22.4,2019
104,Madagascar,1.8,2019
105,Malawi,5.9,2019
106,Malaysia,3.4,2019
107,Maldives,5,2019
108,Mali,7.9,2019
109,Malta,4,2019
110,Mauritania,9.9,2019
111,Mauritius,7.1,2019
112,Mexico,3.4,2019
113,Micronesia,,2019
114,Moldova,4.5,2019
115,Mongolia,7,2019
116,Montenegro,16.1,2019
117,Morocco,9.3,2019
118,Mozambique,25,2019
119,Namibia,23.3,2019
120,Nepal,2.7,2019
121,Netherlands,4.8,2019
122,New Zealand,4.9,2019
123,Nicaragua,4.4,2019
124,Niger,0.4,2019
125,Nigeria,7,2019
126,Norway,4.2,2019
127,Oman,3.3,2019
128,Pakistan,4,2019
129,Panama,4.5,2019
130,Papua New Guinea,2.7,2019
131,Paraguay,4.6,2019
132,Peru,3.6,2019
133,Philippines,2.4,2019
134,Poland,4.9,2019
135,Portugal,8.9,2019
136,Qatar,0.1,2019
137,Romania,4.9,2019
138,Russia,5.2,2019
139,Rwanda,1.3,2019
140,Saint Lucia,21,2019
141,Saint Vincent and the Grenadines,18.3,2019
142,Samoa,8.2,2019
143,S�o Tom� and Pr�ncipe,13.5,2019
144,Saudi Arabia,5.5,2019
145,Senegal,4.9,2019
146,Serbia,14.1,2019
147,Seychelles,,2019
148,Sierra Leone,4.5,2019
149,Singapore,2,2019
150,Slovakia,8.1,2019
151,Slovenia,6.6,2019
152,Solomon Islands,2.1,2019
153,Somalia,6,2019
154,South Africa,27.3,2019
155,Spain,17.2,2019
156,Sri Lanka,4.1,2019
157,Sudan,12.7,2019
158,Suriname,8.1,2019
159,Sweden,6.7,2019
160,Switzerland,4.8,2019
161,Syria,14.9,2019
162,Taiwan ,3.8,2019
163,Tajikistan,10.3,2019
164,Tanzania,2.2,2019
165,Thailand,1.1,2019
166,Timor-Leste,3.4,2019
167,Togo,1.8,2019
168,Tonga,1.1,2019
169,Trinidad and Tobago,4.8,2019
170,Tunisia,15.4,2019
171,Turkey,11.3,2019
172,Turkmenistan,3.4,2019
173,Uganda,2.1,2019
174,Ukraine,9.5,2019
175,United Arab Emirates,1.7,2019
176,United Kingdom,4.3,2019
177,United States,4.4,2019
178,Uruguay,7.9,2019
179,Uzbekistan,7.2,2019
180,Vanuatu,5.2,2019
181,Venezuela,7.7,2019
182,Vietnam,2.1,2019
183,Yemen,14,2019
184,Zambia,7.8,2019
185,Zimbabwe,5,2019
